problem,dt,bdt,rf,xgb,lgb
Simple,0.7449009418487549,11.474530458450316,4.567355155944824,14.655567646026611,2.076727867126465
Complicated,5.7268548011779785,2.3091273307800293,16.79779624938965,170.53612184524536,25.17878484725952
Small n,0.0173051357269287,0.7816939353942871,0.2731199264526367,0.4346966743469238,0.265467882156372
Large d,7.529671430587768,87.08950328826904,15.324439764022827,135.33943891525269,23.24697232246399
Many classes,1.8323681354522705,36.962029457092285,13.606159210205078,121.95456099510191,24.777305841445923
Distribuded,0.943779706954956,0.2419283390045166,6.395134449005127,14.780784845352173,1.680366039276123
High noise,0.717031717300415,7.400269269943237,4.70174503326416,14.821006298065186,1.890519857406616
Imbalanced S,0.7904791831970215,11.019055128097534,4.750573635101318,14.387311458587646,2.053213596343994
Imbalanced C,5.427237033843994,2.3433141708374023,15.4456205368042,164.5635335445404,25.32472038269043
mnist,13.137121438980104,324.70016503334045,43.499855279922485,412.6705763339996,59.58901238441467
